5000,I,40,76,56,41,14,46,72,1,32,85,
67,27,77,25,49,94,23,35,59,37,
90,71,88,12,98,21,49,54,82,56,
97,96,4,43,77,85,57,76,1,74,
6,3,63,8,11,87,53,24,47,43,
85,98,76,60,10,5,61,93,42,58,
61,43,71,11,14,66,83,10,49,11,
43,42,92,36,60,48,1,48,71,2,
21,60,91,88,9,58,42,64,19,44,
62,80,60,37,15,33,9,17,16,15,
16,11,37,98,52,38,88,27,96,33,
60,51,32,80,77,63,52,10,6,32,
8,100,75,41,48,62,23,47,57,52,
37,77,21,36,33,64,52,78,21,36,
15,96,12,52,28,16,63,18,41,58,
71,10,53,74,6,1,36,70,21,65,
55,8,25,11,77,78,77,52,16,81,
60,72,30,91,23,44,85,64,57,90,
29,76,68,86,41,63,27,91,49,17,
38,50,58,3,50,74,70,93,54,97,
26,78,56,70,18,5,56,56,76,1,
86,54,75,7,35,43,56,10,1,19,
54,55,42,95,55,6,98,30,39,41,
56,60,100,56,47,11,70,89,17,8,
100,85,31,95,19,86,78,50,75,38,
42,3,31,68,69,15,24,34,42,82,
57,75,38,21,10,81,23,79,22,97,
8,75,85,58,92,4,46,23,42,70,
37,57,84,96,72,9,26,15,7,85,
10,74,18,17,30,91,26,36,30,33,
22,44,70,25,20,78,89,46,18,85,
71,56,42,58,80,96,82,92,91,58,
76,77,14,27,57,52,62,30,46,85,
30,73,95,78,83,51,56,51,94,28,
10,44,17,83,87,45,6,71,72,66,
74,65,93,72,54,1,50,69,35,31,
97,43,7,72,44,15,26,1,5,99,
34,63,7,100,63,88,27,42,22,69,
2,80,92,12,52,84,49,95,94,18,
21,6,100,72,99,14,18,35,85,14,
8,92,55,3,39,89,35,26,14,17,
39,37,77,12,65,34,8,40,72,50,
20,49,60,22,2,83,28,18,76,18,
78,19,31,17,55,11,81,43,55,46,
60,90,27,35,12,8,12,56,10,20,
15,14,76,77,64,8,47,5,72,13,
22,40,98,40,41,42,55,56,54,94,
20,88,74,97,36,64,35,79,63,61,
69,48,90,10,91,85,76,15,7,80,
25,70,72,81,37,84,59,19,90,77,
88,7,62,15,59,90,7,64,15,69,
8,90,21,68,97,98,100,87,49,52,
51,33,71,34,23,82,58,55,7,48,
90,27,93,12,48,80,12,65,32,46,
71,85,16,70,2,36,19,83,83,30,
35,51,70,4,80,53,10,85,63,78,
64,77,29,61,89,70,84,94,55,75,
90,35,63,37,19,26,41,60,62,77,
68,90,58,67,56,86,7,86,85,31,
18,5,75,38,9,44,10,78,44,26,
14,14,47,90,63,64,57,1,25,96,
16,95,28,79,10,80,26,81,59,33,
9,93,32,7,6,43,44,15,98,94,
73,67,1,63,21,48,24,6,1,32,
75,48,94,30,78,73,54,63,91,10,
33,99,57,9,13,49,28,56,6,51,
77,80,83,34,58,19,85,53,73,67,
65,11,2,36,91,49,79,48,87,44,
27,14,77,64,45,85,73,54,30,89,
21,72,45,90,25,35,91,92,95,88,
19,51,95,21,46,97,61,57,70,12,
14,6,35,8,59,83,38,56,27,99,
70,35,31,73,48,86,89,97,68,8,
30,9,44,95,40,71,11,81,38,2,
35,37,4,94,46,59,66,85,7,57,
29,56,95,68,34,19,42,87,61,12,
79,78,56,17,83,33,87,92,26,89,
47,71,2,63,68,8,84,21,8,70,
8,58,65,16,17,50,80,85,61,48,
70,89,50,26,55,16,5,98,94,73,
18,6,32,24,12,27,49,3,2,57,
11,81,70,90,60,64,9,51,38,88,
19,59,12,100,96,23,32,53,68,91,
19,93,71,27,21,66,16,67,62,95,
15,50,88,34,100,53,41,75,6,97,
31,84,71,39,19,5,30,95,11,81,
99,10,59,21,2,67,66,73,78,85,
24,57,31,30,7,54,54,79,42,81,
68,58,69,100,22,72,94,50,91,13,
36,95,10,52,14,21,54,24,66,60,
39,47,91,85,90,76,87,5,96,32,
61,72,20,56,82,8,51,42,11,82,
15,97,2,28,54,82,52,8,95,41,
14,20,18,23,19,30,89,16,70,26,
35,72,4,94,12,94,19,85,14,33,
76,95,30,15,26,92,30,27,45,58,
61,13,50,49,79,43,35,37,55,62,
82,62,26,63,77,83,27,24,48,19,
51,94,70,81,97,55,81,66,14,14,
68,5,45,18,70,54,31,41,37,73,
77,7,68,100,70,65,89,68,70,78,
25,33,75,39,73,86,31,49,85,43,
94,5,67,70,34,47,58,11,61,80,
23,31,38,57,96,33,73,71,55,69,
79,76,58,60,13,81,4,11,49,82,
82,18,39,91,56,36,81,40,45,45,
1,56,98,59,50,5,81,29,29,71,
57,93,85,82,74,7,1,100,85,86,
25,84,70,64,25,32,19,5,29,89,
89,80,27,65,34,64,85,91,1,63,
70,58,81,8,45,44,90,23,24,73,
38,63,30,68,95,24,74,48,46,5,
18,98,64,83,96,99,6,42,12,36,
10,16,6,21,52,36,81,58,6,96,
73,10,28,18,29,35,95,87,56,31,
60,25,16,24,63,99,71,86,96,14,
58,78,89,79,63,46,26,26,75,4,
78,53,88,89,15,14,48,27,56,76,
14,33,88,5,20,1,1,75,65,18,
18,92,15,71,70,48,41,59,67,49,
39,11,78,31,86,49,3,43,74,74,
86,28,41,78,27,80,85,82,12,68,
1,19,57,79,68,17,69,61,18,43,
6,35,40,21,33,73,94,65,59,86,
59,50,15,15,3,82,45,75,99,72,
50,42,11,45,69,32,64,34,58,96,
20,17,80,68,14,95,24,31,52,43,
92,15,11,17,89,20,14,33,78,69,
43,17,88,68,7,52,78,3,43,21,
96,69,83,99,26,61,89,6,51,95,
45,54,78,57,71,82,78,64,34,80,
97,71,56,87,54,22,14,29,79,99,
78,62,24,77,53,8,18,46,86,80,
2,31,36,70,29,33,7,1,100,78,
97,5,84,40,10,60,60,25,67,94,
38,84,63,88,10,84,24,24,100,82,
24,55,49,11,97,59,97,50,77,14,
64,99,85,57,45,65,70,2,74,5,
10,68,21,79,61,45,2,97,63,95,
90,18,79,54,51,16,48,25,66,13,
75,9,61,2,58,53,1,90,27,60,
11,25,4,36,33,32,57,32,3,64,
55,1,2,25,95,12,22,98,54,100,
91,9,84,58,41,8,18,36,36,82,
