5000,I,31,82,93,42,70,76,63,27,71,4,
22,19,79,56,36,5,85,63,30,72,
40,86,39,98,96,2,76,55,89,93,
77,38,13,14,78,20,80,86,15,98,
47,25,73,19,16,56,35,83,87,84,
7,46,13,39,4,77,72,65,51,33,
99,13,33,24,83,25,61,12,31,87,
62,78,84,26,8,72,16,57,18,98,
99,14,30,18,59,78,20,63,84,39,
27,79,75,54,93,19,92,58,2,26,
89,32,40,20,98,8,46,10,14,83,
9,43,35,7,2,65,36,93,54,76,
66,85,14,78,57,55,31,28,17,72,
48,79,37,39,85,75,6,21,60,36,
86,91,66,34,3,62,49,6,79,31,
79,93,46,76,81,53,30,58,57,78,
29,41,1,91,64,57,69,80,83,99,
78,62,93,99,16,78,37,63,81,66,
1,44,35,14,46,38,48,37,89,30,
84,58,64,56,15,61,8,71,3,2,
29,56,80,74,66,96,26,39,39,37,
63,81,64,47,2,66,16,41,87,69,
74,43,27,43,83,57,63,90,16,27,
64,23,13,90,66,97,21,35,61,74,
32,70,11,54,67,22,91,62,4,44,
25,62,5,97,8,66,9,64,4,89,
12,43,72,55,58,80,19,34,47,98,
93,27,73,21,28,70,95,16,56,9,
48,14,8,36,47,28,13,86,26,81,
56,11,37,29,75,67,52,53,48,22,
15,39,30,37,41,70,40,48,39,42,
15,36,50,5,34,86,39,68,36,84,
82,96,81,48,38,31,65,51,79,91,
45,12,5,5,15,29,80,77,53,53,
71,42,93,98,41,88,56,49,2,49,
38,68,18,9,100,31,7,27,33,22,
84,17,54,58,10,11,62,54,30,87,
32,52,7,97,50,40,78,79,45,96,
35,36,18,65,1,4,53,1,84,95,
72,21,3,7,75,56,33,39,53,21,
24,22,93,90,8,47,49,30,48,78,
27,48,46,59,11,96,32,49,100,5,
86,42,50,43,70,53,91,43,22,100,
9,30,57,23,72,18,45,37,92,27,
63,33,48,92,55,79,88,40,65,24,
85,32,41,76,67,45,15,95,75,63,
38,6,86,36,17,82,56,61,2,37,
77,48,35,44,38,61,63,93,91,30,
58,62,7,9,19,5,27,71,25,21,
52,67,51,69,75,51,89,4,90,51,
76,88,81,64,33,55,15,59,81,59,
62,25,91,41,19,73,74,33,37,24,
20,3,99,80,80,65,10,16,20,43,
34,59,70,31,12,76,56,99,83,65,
61,39,17,10,6,59,25,67,33,68,
43,28,13,62,47,1,82,2,85,91,
82,69,36,2,72,1,82,71,65,50,
100,63,40,55,6,57,77,90,85,40,
5,10,91,68,11,100,47,71,99,88,
37,95,12,32,32,99,11,69,38,62,
78,5,76,51,61,65,84,97,68,32,
75,52,72,31,98,20,15,34,34,70,
82,63,38,69,73,38,10,43,26,37,
2,84,49,5,77,58,80,92,38,50,
5,24,26,66,100,31,15,79,23,65,
1,17,23,100,64,49,21,66,9,5,
37,72,92,98,54,8,49,95,65,92,
97,29,14,57,91,23,97,79,36,70,
61,11,24,8,99,69,90,90,13,52,
58,94,77,42,69,88,31,56,65,43,
29,16,57,38,10,41,38,66,81,73,
